id;nome;categoria_regulatoria;data_vencimento_registro;classe_terapeutica;mari;situacao_registro;principio_ativo;estoque;preco
15; METILDOPA;SIMILAR;2007-05-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;0;461
16; NISTATINA;SIMILAR;2007-05-01;ANTIMICOTICO;S;CANCELADO;CADUCOU;23;3
17; RABEPRAZOL SODICO;SIMILAR;2007-02-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;24;470
18; SULFATO DE AMICACINA;SIMILAR;2004-06-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;7;390
19; TAMOXIFENO;SIMILAR;2003-06-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;23;120
20; TENOXICAM;SIMILAR;2006-03-01;ANTINFLAMATORIOS ANTIREUMATICOS;S;CANCELADO;CADUCOU;0;315
21; TERBINAFINA;SIMILAR;2006-05-01;ANTIMICOTICO;S;CANCELADO;CADUCOU;8;313
22; VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA;BIOLÓGICO;2006-06-01;VACINAS;S;CANCELADO;CADUCOU;10;130
23;1/6 MOLAR HALEX ISTAR;SIMILAR;2004-07-01;ELETROLITOS SIMPLES;S;CANCELADO;CADUCOU;30;395
24;21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12;SIMILAR;2002-12-01;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;18;10
25;6 - COPENA;NÃO ESPECIFICADO;2003-10-01;ANTIEMETICOS E ANTINAUSEANTES;S;CANCELADO;CADUCOU;7;178
26;A CURITYBINA;SIMILAR;2019-11-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;18;322
27;A SAUDE DA MULHER;FITOTERÁPICO;2016-01-01;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;1;113
28;A SAÚDE DA MULHER;SIMILAR;2014-07-01;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;14;308
29;A.F.B.M;SIMILAR;2007-03-01;POLIVITAMINICOS SEM MINERAIS;N;CANCELADO;CADUCOU;0;446
30;AAS;SIMILAR;2007-09-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;21;267
31;AAS PROTECT;SIMILAR;2012-09-01;ANTIAGREGANTE PLAQUETARIO;S;CANCELADO;CADUCOU;6;269
32;ABACICLOVIR;SIMILAR;2005-12-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;28;219
33;ABBA;SIMILAR;2029-03-01;AGENTES ANTINEOPLÁSICOS;S;VÁLIDO;ACETATO DE ABIRATERONA;29;163
34;ABBOT EFEDRINA;SIMILAR;2008-07-01;HIPERTENSOR;S;CANCELADO;CADUCOU;11;296
35;ABBOTTRACURIUM;SIMILAR;2008-04-01;ANESTESICOS GERAIS INJETAVEIS;S;CANCELADO;CADUCOU;27;264
36;ABC;SIMILAR;2025-10-01;ANTIMICOTICOS PARA USO TOPICO;S;VÁLIDO;CLOTRIMAZOL;29;140
37;ABC PLUS;SIMILAR;2005-02-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;0;174
38;ABCALCIUM B12;SIMILAR;2016-07-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;8;479
39;ABCIXIMAB;SIMILAR;2004-04-01;ANTICOAGULANTES;S;CANCELADO;CADUCOU;20;217
40;ABCLER ABNAT;SIMILAR;2026-06-01;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;S;VÁLIDO;BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA;4;131
41;ABEDERIL;SIMILAR;2011-06-01;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;29;175
42;ABEDOSEC;SIMILAR;2011-05-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;0;358
43;ABELCET;NOVO;2014-05-01;ANTIMICOTICOS SISTEMICOS;S;CANCELADO;CADUCOU;16;325
44;ABELIA;SIMILAR;2015-12-01;IMUNOMODULADOR;S;CANCELADO;CADUCOU;3;292
45;ABEPOTEN;SIMILAR;2011-06-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;28;333
46;ABERALGINA;SIMILAR;2026-06-01;ANALGESICOS NAO NARCOTICOS;S;VÁLIDO;DIPIRONA;9;293
47;ABFOR GERIN;SIMILAR;2005-12-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;16;227
48;ABIDOR;SIMILAR;2016-04-01;ANALGESICOS;S;CANCELADO;CADUCOU;26;275
49;ABIFLAN;SIMILAR;2011-04-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;10;337
50;ABILIFY;NOVO;2018-04-01;ANTIPSICOTICOS;S;CANCELADO;CADUCOU;22;232
51;ABINESIL;SIMILAR;2008-12-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;8;138
52;ABLOK;SIMILAR;2025-05-01;BETABLOQUEADORES SIMPLES;S;VÁLIDO;ATENOLOL;2;193
53;ABLOK PLUS;SIMILAR;2029-06-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;ATENOLOL +  CLORTALIDONA;27;305
54;ABOBORA D''ANTA;FITOTERÁPICO;2004-10-01;FITOTERAPICO COMPOSTO;S;CANCELADO;CADUCOU;12;253
55;ABRENA;SIMILAR;2008-07-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;10;148
56;ABLOK PLUS;SIMILAR;2027-02-01;ANTIDEPRESSIVOS;S;VÁLIDO;CLORIDRATO DE DULOXETINA;11;378
57;ABRIFIT;FITOTERÁPICO;2029-07-01;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;S;VÁLIDO;HEDERA HELIX L.;11;405
58;ABRILAR;FITOTERÁPICO;2028-05-01;EXPECTORANTES + FITOTERAPICO SIMPLES;S;VÁLIDO;HEDERA HELIX L.;2;415
59;ABSTEN S;SIMILAR;2014-12-01;ANOREXICOS SIMPLES;S;CANCELADO;CADUCOU;12;210
60;AC BENZOICO ASSOCIADO;SIMILAR;2001-11-01;ANTISSEPTICO;S;CANCELADO;CADUCOU;4;27
61;AC. ASCORBICO;SIMILAR;2006-10-01;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;S;CANCELADO;CADUCOU;8;342
62;ACAFRAN;FITOTERÁPICO;2004-03-01;COLAGOGOS E COLERETICOS;S;CANCELADO;CADUCOU;11;451
63;ACALKA;SIMILAR;2006-02-01;PRODUTOS PARA VIAS URINARIAS;S;CANCELADO;CADUCOU;4;361
64;ACALMIL;FITOTERÁPICO;2015-01-01;FITOTERAPICO COMPOSTO;S;CANCELADO;CADUCOU;3;27
65;ACALMILFITO;FITOTERÁPICO;2031-03-01;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;S;VÁLIDO;CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.;27;285
66;ACARSAN;SIMILAR;2018-08-01;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;N;CANCELADO;CADUCOU;1;457
67;ACCERA;SIMILAR;2016-06-01;ANTIGLAUCOMATOSOS;S;CANCELADO;CADUCOU;16;132
68;ACCOLATE;NOVO;2013-02-01;ANTIASMATICOS;S;CANCELADO;CADUCOU;26;276
69;ACCUPRIL;NÃO ESPECIFICADO;2013-11-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;17;396
70;ACCUVIT;ESPECÍFICO;2027-03-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;VÁLIDO;ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SÓDIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO;16;319
71;ACEBROFILINA;SIMILAR;2016-07-01;BRONCODILATADORES;S;CANCELADO;CADUCOU;24;163
72;ACECILICO;SIMILAR;2003-10-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;6;315
73;ACECLOFENAC;SIMILAR;2009-08-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;22;495
74;ACECLOFENACO;SIMILAR;2003-06-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;27;38
75;ACECTIL;SIMILAR;2006-02-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;18;172
76;ACEDILAT;SIMILAR;2022-09-01;BRONCODILATADORES;S;CANCELADO;CADUCOU;10;102
77;ACEFLOR;SIMILAR;2027-07-01;ANTINFLAMATORIOS;S;VÁLIDO;ACECLOFENACO;0;97
78;ACEMEDROX;SIMILAR;2010-05-01;PROGESTAGENOS SIMPLES;S;CANCELADO;CADUCOU;8;485
79;ACEPONATO DE HIDROCORTISONA;SIMILAR;2006-05-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;9;430
80;ACERATUM;SIMILAR;2025-06-01;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA;S;VÁLIDO;PERÓXIDO DE URÉIA;2;263
81;ACEROGRIP C;SIMILAR;2007-02-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;6;289
82;ACEROL;SIMILAR;2004-06-01;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;S;CANCELADO;CADUCOU;0;490
83;ACEROLITA;SIMILAR;2007-03-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;4;375
84;ACEROLUP C;ESPECÍFICO;2013-12-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;25;265
85;ACERTALIX;NOVO;2029-09-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;INDAPAMIDA +  PERINDOPRIL ARGININA;19;45
86;ACERTANLO;NOVO;2027-01-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA;23;397
87;ACERTIL;NOVO;2029-01-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;PERINDOPRIL ARGININA;17;170
88;ACESYL;ESPECÍFICO;2027-03-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;VÁLIDO;CLORIDRATO DE TIAMINA;19;283
89;ACETAMIL;SIMILAR;2011-06-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;20;375
90;ACETAMOL;SIMILAR;2014-08-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;1;119
91;ACETAN;SIMILAR;2006-10-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;16;194
92;ACETATO DE ABIRATERONA;GENÉRICO;2028-06-01;ANTINEOPLASICO;S;VÁLIDO;ACETATO DE ABIRATERONA;13;356
93;ACETATO DE ALFA DL TOCOFEROL;SIMILAR;2007-06-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;3;25
94;ACETATO DE CIPROTERONA;SIMILAR;2006-01-01;PROGESTAGENOS SIMPLES;S;CANCELADO;CADUCOU;5;472
95;ACETATO DE DEXAMETASONA;SIMILAR;2005-11-01;HORMONIOS CORTICOSTEROIDES;S;CANCELADO;CADUCOU;17;469
96;ACETATO DE DEXAMETAZONA;SIMILAR;2006-08-01;GLICOCORTICOIDES SISTEMICOS;S;CANCELADO;CADUCOU;27;334
97;ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO;SIMILAR;2007-05-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;8;156
98;ACETATO DE DL ALFA TOCOFERIL;SIMILAR;2007-09-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;5;414
99;ACETATO DE DL ALFA TOCOFERILA;SIMILAR;2003-02-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;26;185
100;ACETATO DE EPTIFIBATIDE;NOVO;2003-02-01;ANTITROMBOTICO;S;CANCELADO;CADUCOU;28;18
101;ACETATO DE GUANABENZO;SIMILAR;2010-01-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;2;141
102;ACETATO DE HIDROCORTISONA;SIMILAR;2005-12-01;ANTI-FLOGISTICO E ANTI-PRURIGINOSO;S;CANCELADO;CADUCOU;26;336
103;ACETATO DE LEUPROLIDE;SIMILAR;2004-05-01;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;S;CANCELADO;CADUCOU;11;418
104;ACETATO DE MEDROXIPROGESTERONA;SIMILAR;2001-09-01;PROGESTAGENOS SIMPLES;S;CANCELADO;CADUCOU;8;13
105;ACETATO DE MEDROXIPROGESTERONA];SIMILAR;2004-09-01;PROGESTAGENOS SIMPLES;S;CANCELADO;CADUCOU;29;134
106;ACETATO DE MEGESTROL;SIMILAR;2002-02-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;8;38
107;ACETATO DE POTASSIO;SIMILAR;2006-11-01;ELETROLITOS SIMPLES;S;CANCELADO;CADUCOU;22;12
108;ACETATO DE PREDNISOLONA;GENÉRICO;2017-03-01;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;S;CANCELADO;CADUCOU;11;320
109;ACETATO DE RETINOL;SIMILAR;2006-03-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;23;303
110;ACETATO DE RETINOL (50.000 UI);SIMILAR;2002-02-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;28;277
111;ACETATO DE RETINOL E BETACAROTENO;SIMILAR;2004-09-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;7;142
112;ACETATO DE SODIO;SIMILAR;2006-11-01;ELETROLITOS SIMPLES;S;CANCELADO;CADUCOU;29;408
113;ACETATO DE SÓDIO;SIMILAR;2005-10-01;ELETROLITOS SIMPLES;S;CANCELADO;CADUCOU;1;181
114;ACETATO DE TOCOFEROL;SIMILAR;2004-07-01;POLIVITAMINICOS COM MINERAIS;N;CANCELADO;CADUCOU;13;122
115;ACETATO DE ZINCO B.BRAUN;SIMILAR;2006-11-01;ELETROLITOS SIMPLES;S;CANCELADO;CADUCOU;2;145
116;ACETAZOLAMIDA;SIMILAR;2003-01-01;DIURETICOS;S;CANCELADO;CADUCOU;9;266
117;ACETAZONA;SIMILAR;2026-08-01;GLICOCORTICOIDES SISTEMICOS;S;VÁLIDO;ACETATO DE DEXAMETASONA +  DEXAMETASONA;5;61
118;ACETICIL;SIMILAR;2029-05-01;ANALGESICOS;S;VÁLIDO;ÁCIDO ACETILSALICÍLICO;2;323
119;ACETILASA;SIMILAR;2003-01-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;3;130
120;ACETILCISTEINA;GENÉRICO;2011-10-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;CANCELADO;CADUCOU;16;106
121;ACETILCISTEÍNA;GENÉRICO;2028-11-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;VÁLIDO;ACETILCISTEÍNA;0;294
122;ACETILDOR;SIMILAR;2028-11-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;4;198
123;ACETILESSIN;SIMILAR;2002-07-01;ANALGESICOS;S;CANCELADO;CADUCOU;29;337
124;ACETILSALICILATO DE LISINA;SIMILAR;2002-03-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;22;151
125;ACETILSALIL;SIMILAR;2004-07-01;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;S;CANCELADO;CADUCOU;1;74
126;ACETITOL;SIMILAR;2016-04-01;ANALGESICOS;S;CANCELADO;CADUCOU;20;99
127;ACETOFLUX;SIMILAR;2017-11-01;PROGESTAGENOS SIMPLES;S;CANCELADO;CADUCOU;13;374
128;ACETONIDA DE TRIANCINOLONA;GENÉRICO;2015-01-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;30;123
129;ACETONIDO DE FLUOCINOLONA;NOVO;2007-04-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;19;154
130;ACETYLEN;SIMILAR;2014-12-01;ANALGESICOS;S;CANCELADO;CADUCOU;24;372
131;ACEVITON;ESPECÍFICO;2029-09-01;VITAMINAS;S;VÁLIDO;ÁCIDO ASCÓRBICO;4;133
132;ACEZO;SIMILAR;2031-08-01;SUPRESSORES DA REABSORCAO OSSEA;S;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;12;353
133;ACEÍNA;ESPECÍFICO;2012-08-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;6;140
134;ACFOL;ESPECÍFICO;2028-10-01;ANTIANEMICOS;S;VÁLIDO;ÁCIDO FÓLICO;18;258
135;ACHEFLAN;FITOTERÁPICO;2029-11-01;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;S;VÁLIDO;CORDIA VERBENACEA DC.;2;119
136;ACICLOFAR;SIMILAR;2018-04-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;7;249
137;ACICLOMAX;SIMILAR;2003-09-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;VÁLIDO;CLORIDRATO DE VALACICLOVIR;22;117
138;ACICLOMED;SIMILAR;2029-03-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;VÁLIDO;ACICLOVIR;19;205
139;ACICLOR;SIMILAR;2029-10-01;ANTIVIROTICOS;S;VÁLIDO;ACICLOVIR;25;487
140;ACICLOVAN;SIMILAR;2008-02-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;0;217
141;ACICLOVIR;SIMILAR;2001-08-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;17;109
142;ACICLOVIR 250 MG;GENÉRICO;2011-05-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;18;246
143;ACICLOVIR SODICO;SIMILAR;2003-11-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;25;16
144;ACIDALIC;SIMILAR;2008-02-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;8;57
145;ACIDERM;SIMILAR;2002-03-01;ANTIMICOTICOS PARA USO TOPICO;S;CANCELADO;CADUCOU;24;460
146;ACIDEX;SIMILAR;2008-10-01;ANTIACIDO;S;CANCELADO;CADUCOU;11;23
147;ACIDO ACELTILSALICILICO;SIMILAR;2005-01-01;ANALGESICOS;S;CANCELADO;CADUCOU;18;263
148;ACIDO ACETIL SALICILICO;SIMILAR;2001-07-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;9;282
149;ACIDO ACETIL SALICILICO TAMPONADO;SIMILAR;2001-11-01;ANALGESICOS;S;CANCELADO;CADUCOU;28;158
150;ACIDO ACETILSALICILICO;SIMILAR;2011-06-01;ANALGESICOS;S;CANCELADO;CADUCOU;16;261
151;ACIDO ACETILSALICILICO ASSOCIADO;SIMILAR;2001-11-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;3;327
152;ACIDO ACETILSALICILICO DE LISINA;SIMILAR;2003-04-01;ANTIAGREGANTE PLAQUETARIO;N;CANCELADO;CADUCOU;20;280
153;ACIDO ASCORBICO;SIMILAR;2001-11-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;28;281
154;ACIDO ASCÓRBICO;SIMILAR;2006-04-01;MONOVITAMINAS EXCETO VITAMINA K;S;CANCELADO;CADUCOU;18;456
155;ACIDO BENZOICO/IODO/IODETO DE POTASSIO;SIMILAR;2005-11-01;ANTIMICOTICOS PARA USO TOPICO;S;CANCELADO;CADUCOU;10;208
156;ACIDO DIMERCAPTOSSUCCINICO;SIMILAR;2005-03-01;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;S;CANCELADO;CADUCOU;22;356
157;ACIDO DIMERCAPTOSUCCINICO;NOVO;2005-03-01;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;N;CANCELADO;CADUCOU;14;443
158;ACIDO FOLICO;SIMILAR;2005-02-01;ANTIANEMICOS;S;CANCELADO;CADUCOU;21;444
159;ACIDO FOLICO - EUROFARMA;SIMILAR;2001-07-01;ANTIANEMICOS SIMPLES;S;CANCELADO;CADUCOU;27;422
160;ACIDO FOLINICO;SIMILAR;2001-11-01;ANTIANEMICOS;S;CANCELADO;CADUCOU;16;53
161;ACIDO FÊNICO;SIMILAR;2012-11-01;PRODUTOS ODONTOLOGICOS;S;CANCELADO;CADUCOU;10;132
162;ACIDO MEFENAMICO;GENÉRICO;2019-12-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;3;199
163;ACIDO NALIDIXICO;SIMILAR;2004-03-01;ANTINFECCIOSOS;N;CANCELADO;CADUCOU;20;392
164;ACIDO SALICILICO;SIMILAR;2001-08-01;OUTROS PRODUTOS PARA REMOCAO DE IMPUREZAS DO TEGUMENTO;S;CANCELADO;CADUCOU;30;77
165;ACIDO TRANEXAMICO;GENÉRICO;2015-09-01;ANTIFIBRINOLITICOS;S;CANCELADO;CADUCOU;22;156
166;ACIDO VALPROICO;GENÉRICO;2003-03-01;ANTICONVULSIVANTES;S;CANCELADO;CADUCOU;19;157
167;ACIDO ZOLEDRONICO;GENÉRICO;2025-03-01;SUPRESSORES DA REABSORCAO OSSEA;S;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;16;422
168;ACINIC;NOVO;2014-02-01;ANTILIPEMICOS;S;CANCELADO;CADUCOU;1;259
169;ACIVERAL;SIMILAR;2006-08-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;17;115
170;ACIVIRAX;SIMILAR;2025-08-01;ANTIVIROTICOS;S;VÁLIDO;ACICLOVIR;28;227
171;ACLAF;SIMILAR;2029-07-01;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;S;VÁLIDO;AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO;2;297
172;ACLASTA;NOVO;2025-08-01;SUPRESSORES DA REABSORCAO OSSEA;S;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO;22;450
173;ACNASE;SIMILAR;2017-10-01;PRODUTOS ANTI-ACNE;S;CANCELADO;CADUCOU;1;488
174;ACNASE GEL;SIMILAR;2009-08-01;PRODUTOS ANTI-ACNE;S;CANCELADO;CADUCOU;16;358
175;ACNIL;SIMILAR;2008-08-01;PRODUTOS ANTI-ACNE;S;VÁLIDO;ISOTRETINOÍNA;27;314
176;ACNISON;SIMILAR;2007-06-01;PRODUTOS ANTI-ACNE;S;CANCELADO;CADUCOU;26;465
177;ACNOVA;SIMILAR;2021-06-01;PRODUTOS ANTI-ACNE;S;CANCELADO;CADUCOU;30;317
178;ACOG;SIMILAR;2030-05-01;NÃO ESPECIFICADO;S;VÁLIDO;RIVAROXABANA;9;273
179;ACOLITIUM;GENÉRICO;2006-10-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;9;91
180;ACOMPLIA;NOVO;2012-04-01;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;S;CANCELADO;CADUCOU;13;253
181;ACONVULSIN;SIMILAR;2001-07-01;ANTICONVULSIVANTES;S;CANCELADO;CADUCOU;2;126
182;ACOTERMON;SIMILAR;2010-01-01;ANALGESICOS CONTRA ENXAQUECA;S;CANCELADO;CADUCOU;10;295
183;ACRIDIN;SIMILAR;2000-05-01;ANTISSEPTICOS URINARIOS SIMPLES;S;CANCELADO;CADUCOU;13;139
184;ACTI-VALDA;SIMILAR;2003-05-01;ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE;S;CANCELADO;CADUCOU;2;25
185;ACTICALCIN;SIMILAR;2009-05-01;HORMONIO HIPOCALCEMICO;S;CANCELADO;CADUCOU;7;227
186;ACTIFEDRIN;SIMILAR;2008-02-01;ANTI-HISTAMINICOS SISTEMICOS;S;CANCELADO;CADUCOU;28;38
187;ACTILYSE;NOVO;2028-03-01;ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE;S;VÁLIDO;ALTEPLASE;30;365
188;ACTIPROFEN;SIMILAR;2008-10-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;25;427
189;ACTIVE PLUS;FITOTERÁPICO;2030-03-01;NÃO ESPECIFICADO;S;VÁLIDO;SENNA ALEXANDRINA MILL.;10;207
190;ACTIVELLE;NOVO;2016-04-01;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;S;CANCELADO;CADUCOU;3;156
191;ACTONEL;NOVO;2025-01-01;SUPRESSORES DA REABSORCAO OSSEA;S;CANCELADO;CADUCOU;29;418
192;ACTONEL TRIO;NOVO;2014-06-01;SUPRESSORES DA REABSORCAO OSSEA;S;CANCELADO;CADUCOU;5;357
193;ACTOS;NOVO;2020-05-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;0;327
194;ACTOS  MET;NOVO;2015-04-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;30;456
